Id,Title,Release,PhotoUrl,Introduction,country
38,Perfect Blue,1997-02-28,/images/perfectblue.jpg,"An idol singer's descent into paranoia after quitting her pop career leads to a terrifying identity crisis.",Japan
39,Paprika,2006-11-25,/images/paprika.jpg,"A device that allows therapists to enter patients' dreams falls into the wrong hands, blurring reality and fantasy.",Japan
40,The Girl Who Leapt Through Time,2006-07-15,/images/girlwholeapt.jpg,"A high-school girl gains the ability to time-travel and soon discovers the unintended consequences of changing the past.",Japan
41,Weathering with You,2019-07-19,/images/tianqizhizi.jpg,"A runaway boy meets a girl who can manipulate the weather, and they struggle to survive in a drenched Tokyo.",Japan
42,A Silent Voice,2016-09-17,/images/A_Silent_Voice_Film_Poster.jpg,"A former bully seeks redemption by reconnecting with the deaf girl he tormented in elementary school.",Japan
43,Millennium Actress,2001-01-27,/images/Sennenyoyu.jpg,"A retired actress recounts her life story to a filmmaker, weaving her memories with scenes from her films.",Japan
44,Crash Landing on You,2020-02-14,/images/Crash_Landing_on_You_main_poster.jpg,"A South Korean heiress accidentally paraglides into North Korea and falls in love with an army officer who helps her hide.",South Korea
45,Descendants of the Sun,2016-02-24,/images/Descendants_of_the_Sun_-_Poster.jpg,"A special forces officer and a doctor fall in love while serving in a fictional war-torn country.",South Korea
46,Goblin,2016-12-02,/images/1_4FaGGN4RGH3Q3CuMnikunA.jpg,"An immortal goblin seeks a human bride to end his cursed life, until he meets a high-school girl with a mysterious past.",South Korea
47,My Love from the Star,2013-12-18,/images/You_Who_Came_From_the_Stars_Cover.jpg,"An alien who landed on Earth 400 years ago falls in love with a top actress as his departure looms near.",South Korea
48,Itaewon Class,2020-01-31,/images/Itaewon_Class.jpg,"An ex-con and his friends open a bar in Seoul’s Itaewon neighborhood, seeking revenge on a powerful food conglomerate.",South Korea
49,Reply 1988,2015-11-06,/images/1988.jpg,"Friends and families in a Seoul neighborhood navigate adolescence, love, and family in the late 1980s.",South Korea
50,Kingdom,2019-01-25,/images/MV5BYWQyMDQyYzItYWFhNi00YmViLTkwZTctY2M2NjEyNDJmNGQ5XkEyXkFqcGc@._V1_.jpg,"A crown prince investigates a mysterious plague spreading across his kingdom and discovers hordes of undead rising.",South Korea
51,Healer,2014-12-08,/images/Healer.jpg,"A nighttime errand-runner with the codename 'Healer' uncovers hidden truths when hired to track a reporter.",South Korea
52,Signal,2016-01-22,/images/Signal_Korean_Drama.jpg,"A detective in 2015 uses a mysterious walkie-talkie to communicate with a police officer from 1989, solving cold cases.",South Korea
53,Reply 1994,2013-10-18,/images/Reply_1994.jpg,"College students from various provinces live together in a boarding house and experience friendship and first loves.",South Korea
54,Inglourious Basterds,2009-08-21,/images/InglouriousBasterds.jpg,"A group of Jewish-American soldiers plan to assassinate Nazi leaders in occupied France.",US
